strategy,symbol,n_trades,total_pnl_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_MACD Centerline Cross + Divergence,SUI_USDT,1210,900.31,49.9,0.426,0.164,0.277,-10.56,1.06,B_New
B_Ichimoku Cloud,SOL_USDT,1149,2439.31,40.0,0.419,0.156,0.291,-13.39,1.07,B_New
B_Keltner Channel Breakout,DOGE_USDT,807,2893.95,44.1,0.414,0.093,0.255,-14.92,1.12,B_New
B_MACD Centerline Cross + Divergence,LTC_USDT,3420,2137.57,50.4,0.407,0.145,0.09,-26.08,1.05,B_New
B_MACD Centerline Cross + Divergence,ETH_USDT,3443,1808.0,51.6,0.401,0.123,0.079,-24.57,1.05,B_New
A_Ensemble A (RSI+MACD+BB),DOT_USDT,2848,1406.75,38.6,0.401,0.179,0.228,-10.24,1.05,A_Original
A_Ensemble A (RSI+MACD+BB),ETH_USDT,4271,1809.91,38.1,0.396,0.158,0.101,-19.07,1.04,A_Original
A_Bollinger Band Reversion,AVAX_USDT,755,1331.05,63.3,0.39,0.055,0.127,-17.76,1.08,A_Original
B_Futures Short RF Model,DOGE_USDT,8,534.85,50.0,0.388,0.059,0.657,-1.17,5.56,B_New
B_Ichimoku Cloud,XRP_USDT,1598,2603.17,35.7,0.373,0.137,0.152,-19.37,1.07,B_New
A_RSI Mean Reversion,DOGE_USDT,88,468.47,52.3,0.371,0.02,0.221,-3.04,1.32,A_Original
B_Donchian Breakout,HBAR_USDT,572,1615.29,45.3,0.365,0.074,0.138,-16.67,1.11,B_New
B_Elliott Wave + Base ML,SHIB_USDT,418,1047.52,46.7,0.365,0.056,0.231,-8.76,1.11,B_New
B_VWAP Reversion,DOGE_USDT,2508,1404.38,67.0,0.333,0.059,0.182,-10.72,1.05,B_New
B_Trend RF Model,ICP_USDT,657,1302.02,52.8,0.326,0.052,0.169,-14.77,1.07,B_New
A_RSI Mean Reversion,ADA_USDT,122,591.75,58.2,0.319,0.017,0.114,-6.28,1.23,A_Original
B_MTF SMA-200 Filter,BNB_USDT,3485,2413.65,25.7,0.317,0.143,0.18,-14.37,1.05,B_New
B_Keltner Channel Breakout,ICP_USDT,627,1250.42,45.3,0.315,0.08,0.155,-15.48,1.07,B_New
A_RSI Mean Reversion,LTC_USDT,135,604.62,55.6,0.314,0.018,0.152,-4.63,1.23,A_Original
B_OFI Momentum,SOL_USDT,1801,1419.65,43.0,0.314,0.105,0.094,-25.11,1.04,B_New
B_MTF SMA-200 Filter,DOGE_USDT,3099,2398.68,21.7,0.312,0.186,0.19,-16.91,1.05,B_New
