strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group,timeframe
B_GARCH Volatility Position Sizing,ADA_USDT,910,3239.7,5217.96,1978.25,46.5,0.498,0.102,0.196,-18.07,1.12,B_New,1h
B_GARCH Volatility Position Sizing,BTC_USDT,1078,2316.51,4020.94,1704.44,50.6,0.492,0.091,0.181,-13.4,1.12,B_New,1h
B_Funding Rate Arb,SUI_USDT,2,71.44,100.13,28.68,50.0,0.49,0.0,1.219,-0.32,3.18,B_New,1h
B_Keltner Channel Breakout,ADA_USDT,1033,3126.44,5173.19,2046.75,45.7,0.487,0.12,0.191,-17.95,1.1,B_New,1h
B_Donchian Breakout,ETH_USDT,514,2173.84,2892.49,718.66,47.5,0.48,0.068,0.318,-7.67,1.17,B_New,1h
B_GARCH Volatility Position Sizing,TRX_USDT,906,2644.5,4427.74,1783.24,48.7,0.479,0.097,0.351,-9.38,1.14,B_New,1h
"B_SuperTrend (ATR×3, 10)",ICP_USDT,246,779.34,1177.34,398.01,36.6,0.479,0.177,0.441,-8.08,1.16,B_New,1h
"B_SuperTrend (ATR×3, 10)",DOT_USDT,240,720.87,1213.04,492.16,39.6,0.477,0.193,0.658,-5.0,1.19,B_New,1h
"B_SuperTrend (ATR×3, 10)",ETH_USDT,875,2229.2,3317.36,1088.16,37.4,0.475,0.129,0.134,-18.61,1.12,B_New,1h
B_MACD Centerline Cross + Divergence,AVAX_USDT,842,583.08,1381.14,798.06,49.0,0.466,0.163,0.254,-10.71,1.08,B_New,1h
B_Base RF Model,DOT_USDT,298,598.57,1250.3,651.73,49.0,0.465,0.093,0.354,-7.75,1.11,B_New,1h
B_OU Mean-Reversion Entry,BTC_USDT,3,11.89,12.79,0.9,66.7,0.461,0.0,3.111,-0.0,28.11,B_New,1h
B_MTF SMA-200 Filter,LINK_USDT,2786,3240.48,6695.47,3454.99,37.0,0.454,0.198,0.25,-17.26,1.06,B_New,1h
B_Volatility Breakout (TTM Squeeze),SHIB_USDT,147,461.92,539.99,78.08,40.1,0.452,0.107,0.328,-6.47,1.23,B_New,1h
B_Donchian Breakout,NEAR_USDT,167,733.37,1131.17,397.8,41.3,0.451,0.096,0.365,-9.17,1.16,B_New,1h
B_Keltner Channel Breakout,LINK_USDT,842,2496.21,3821.67,1325.46,48.8,0.451,0.096,0.335,-10.2,1.1,B_New,1h
B_Elliott Wave + Base ML,BTC_USDT,704,1660.03,2395.36,735.33,49.4,0.445,0.065,0.234,-7.6,1.14,B_New,1h
A_MACD Momentum,APT_USDT,894,813.36,1850.92,1037.56,38.1,0.435,0.276,0.281,-13.24,1.07,A_Original,1h
B_Elliott Wave + Base ML,SUI_USDT,161,686.67,1233.73,547.06,47.8,0.417,0.049,0.377,-9.94,1.13,B_New,1h
B_Funding Rate Arb,SOL_USDT,1,31.52,41.74,10.22,100.0,0.417,0.0,0.0,0.0,inf,B_New,1h
B_Ichimoku Cloud,XRP_USDT,1589,2993.96,5525.07,2531.12,36.2,0.417,0.154,0.167,-19.88,1.08,B_New,1h
B_MTF SMA-200 Filter,SHIB_USDT,1066,843.65,1467.02,623.36,35.1,0.409,0.25,0.341,-11.25,1.08,B_New,1h
B_Elliott Wave + Base ML,DOT_USDT,163,451.95,887.55,435.61,51.5,0.402,0.068,0.336,-6.17,1.13,B_New,1h
A_Bollinger Band Reversion,SOL_USDT,805,1412.37,2564.49,1152.12,61.6,0.399,0.055,0.268,-8.69,1.09,A_Original,1h
B_Ornstein-Uhlenbeck Filter,ATOM_USDT,980,404.63,1305.83,901.21,53.4,0.398,0.123,0.344,-5.43,1.06,B_New,1h
A_RSI Mean Reversion,ATOM_USDT,40,150.01,248.91,98.9,47.5,0.397,0.032,0.27,-2.58,1.25,A_Original,1h
"B_SuperTrend (ATR×3, 10)",LINK_USDT,727,1562.18,2522.49,960.3,43.7,0.389,0.1,0.208,-10.61,1.09,B_New,1h
A_RSI Mean Reversion,HBAR_USDT,33,154.89,234.25,79.36,63.6,0.389,0.024,0.386,-1.87,1.27,A_Original,1h
B_Ichimoku Cloud,LINK_USDT,1313,2293.28,4294.03,2000.75,41.4,0.376,0.124,0.213,-14.79,1.06,B_New,1h
B_MTF SMA-200 Filter,ATOM_USDT,814,619.36,1709.16,1089.81,37.0,0.372,0.172,0.443,-6.42,1.07,B_New,1h
B_Base RF Model,SHIB_USDT,294,598.77,773.22,174.44,42.9,0.37,0.097,0.422,-6.5,1.1,B_New,1h
B_MTF SMA-200 Filter,DOGE_USDT,2871,2774.75,6109.92,3335.17,34.0,0.361,0.183,0.189,-20.95,1.06,B_New,1h
B_OFI Momentum,HBAR_USDT,670,632.57,1352.06,719.49,45.4,0.36,0.149,0.234,-12.42,1.08,B_New,1h
B_OU Mean-Reversion Entry,BNB_USDT,1,6.91,7.21,0.3,100.0,0.355,0.0,0.0,0.0,inf,B_New,1h
A_RSI Mean Reversion,DOGE_USDT,96,430.25,549.54,119.29,58.3,0.355,0.019,0.244,-2.76,1.28,A_Original,1h
B_OU Mean-Reversion Entry,ETH_USDT,1,24.42,24.72,0.3,100.0,0.35,0.0,0.0,0.0,inf,B_New,1h
B_MTF SMA-200 Filter,NEAR_USDT,936,702.47,1947.06,1244.59,36.6,0.347,0.161,0.305,-10.52,1.05,B_New,1h
B_Ornstein-Uhlenbeck Filter,APT_USDT,1052,536.9,1635.51,1098.62,53.1,0.341,0.125,0.207,-11.95,1.05,B_New,1h
B_Ichimoku Cloud,TRX_USDT,1433,1807.08,4265.62,2458.54,38.5,0.339,0.111,0.139,-16.65,1.07,B_New,1h
B_Base RF Model,SUI_USDT,243,558.21,1273.93,715.72,44.4,0.336,0.051,0.266,-11.5,1.08,B_New,1h
B_MACD Centerline Cross + Divergence,ADA_USDT,3260,1841.8,5268.63,3426.83,47.8,0.336,0.097,0.098,-21.55,1.04,B_New,1h
A_Ensemble A (RSI+MACD+BB),LINK_USDT,3531,1494.3,4624.33,3130.03,42.8,0.335,0.138,0.079,-26.7,1.03,A_Original,1h
B_Ichimoku Cloud,NEAR_USDT,419,628.92,1415.39,786.47,42.0,0.331,0.118,0.377,-7.63,1.06,B_New,1h
B_Donchian Breakout,ICP_USDT,179,526.8,935.6,408.79,43.0,0.324,0.071,0.182,-13.34,1.1,B_New,1h
"B_SuperTrend (ATR×3, 10)",ATOM_USDT,246,428.01,782.67,354.66,33.7,0.316,0.128,0.223,-8.85,1.12,B_New,1h
B_Ichimoku Cloud,APT_USDT,423,628.84,1594.29,965.45,40.7,0.315,0.132,0.224,-12.89,1.06,B_New,1h
"B_SuperTrend (ATR×3, 10)",TRX_USDT,842,1067.86,2320.23,1252.37,37.5,0.306,0.076,0.09,-15.66,1.08,B_New,1h
B_MTF SMA-200 Filter,XRP_USDT,3483,2143.37,6431.31,4287.94,34.3,0.301,0.133,0.099,-24.88,1.04,B_New,1h
B_GARCH Volatility Position Sizing,DOT_USDT,241,369.6,978.95,609.35,49.8,0.281,0.056,0.181,-9.4,1.07,B_New,1h
B_VWAP Reversion,NEAR_USDT,924,341.48,1266.24,924.76,62.0,0.281,0.065,0.147,-10.74,1.03,B_New,1h
B_GARCH Volatility Position Sizing,SUI_USDT,208,442.34,1121.03,678.69,45.2,0.277,0.04,0.224,-10.85,1.06,B_New,1h
A_MACD Momentum,AVAX_USDT,848,335.98,1214.98,879.0,39.7,0.275,0.127,0.141,-11.21,1.04,A_Original,1h
A_MACD Momentum,HBAR_USDT,924,438.73,1298.51,859.78,38.9,0.274,0.166,0.176,-11.53,1.05,A_Original,1h
