strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
A_Ensemble A (RSI+MACD+BB),XRP_USDT,4255,2945.54,6853.16,3907.62,41.1,0.588,0.261,0.175,-18.79,1.07,A_Original
"B_SuperTrend (ATR×3, 10)",BNB_USDT,902,3891.07,5003.39,1112.32,41.1,0.588,0.146,0.563,-7.01,1.22,B_New
"B_SuperTrend (ATR×3, 10)",NEAR_USDT,612,2623.8,3811.76,1187.97,42.0,0.588,0.163,0.267,-16.05,1.14,B_New
B_GARCH Volatility Position Sizing,LINK_USDT,873,4104.05,6298.92,2194.87,49.7,0.586,0.124,0.338,-14.27,1.13,B_New
A_MACD Momentum,XRP_USDT,3356,3995.64,7631.05,3635.41,37.8,0.582,0.298,0.3,-14.3,1.1,A_Original
"B_SuperTrend (ATR×3, 10)",ADA_USDT,868,3039.15,4431.76,1392.61,38.6,0.581,0.163,0.171,-19.6,1.14,B_New
B_Keltner Channel Breakout,SHIB_USDT,604,2638.13,3035.63,397.5,44.7,0.578,0.154,0.484,-9.92,1.17,B_New
B_Base RF Model,SHIB_USDT,560,2503.29,2896.04,392.75,44.8,0.578,0.134,0.358,-12.78,1.16,B_New
"B_SuperTrend (ATR×3, 10)",DOGE_USDT,688,2877.2,3959.52,1082.31,37.9,0.573,0.168,0.332,-11.36,1.2,B_New
B_Funding Rate Arb,DOT_USDT,2,92.45,101.3,8.84,100.0,0.569,0.0,0.0,0.0,inf,B_New
B_MTF SMA-200 Filter,SHIB_USDT,2216,3814.18,5587.63,1773.45,34.4,0.567,0.319,0.519,-12.88,1.1,B_New
B_Keltner Channel Breakout,ETH_USDT,1114,3457.35,5091.44,1634.09,45.2,0.564,0.141,0.44,-7.89,1.13,B_New
B_Futures Short RF Model,SHIB_USDT,527,2452.34,2829.45,377.12,44.8,0.563,0.151,0.34,-13.21,1.17,B_New
"B_SuperTrend (ATR×3, 10)",BTC_USDT,872,1936.16,2988.97,1052.81,41.2,0.56,0.133,0.197,-10.43,1.16,B_New
B_Funding Rate Arb,ICP_USDT,8,587.22,843.78,256.56,50.0,0.548,0.03,0.65,-1.77,3.52,B_New
B_OU Mean-Reversion Entry,LTC_USDT,3,28.25,30.41,2.16,100.0,0.548,0.0,0.0,0.0,inf,B_New
B_GARCH Volatility Position Sizing,ETH_USDT,1061,3318.97,5216.63,1897.65,49.6,0.533,0.093,0.204,-16.4,1.12,B_New
B_Ichimoku Cloud,BNB_USDT,1679,4581.49,6743.54,2162.05,41.0,0.532,0.155,0.372,-12.2,1.12,B_New
B_MACD Centerline Cross + Divergence,XRP_USDT,3266,2931.96,6256.14,3324.17,46.7,0.523,0.2,0.217,-15.05,1.09,B_New
B_Base RF Model,NEAR_USDT,766,2513.06,4327.43,1814.38,46.9,0.519,0.11,0.162,-25.4,1.1,B_New
B_Donchian Breakout,NEAR_USDT,454,2351.96,3449.7,1097.74,47.4,0.515,0.093,0.271,-14.3,1.16,B_New
"B_SuperTrend (ATR×3, 10)",SHIB_USDT,519,1897.13,2231.34,334.21,41.0,0.515,0.148,0.407,-8.7,1.18,B_New
B_GARCH Volatility Position Sizing,ADA_USDT,909,3261.78,5237.13,1975.35,46.4,0.501,0.102,0.197,-18.13,1.12,B_New
B_MACD Centerline Cross + Divergence,NEAR_USDT,2294,2379.52,5136.02,2756.5,47.8,0.5,0.173,0.193,-20.32,1.07,B_New
B_GARCH Volatility Position Sizing,BTC_USDT,1077,2351.52,4056.39,1704.87,50.6,0.499,0.092,0.183,-13.4,1.12,B_New
B_Elliott Wave + Base ML,SHIB_USDT,293,2137.17,2332.95,195.78,43.3,0.498,0.116,0.285,-13.9,1.24,B_New
B_Futures Short RF Model,DOT_USDT,533,1994.96,3451.29,1456.33,48.0,0.494,0.09,0.209,-15.5,1.13,B_New
B_Trend RF Model,APT_USDT,283,1082.0,2510.26,1428.27,49.1,0.491,0.082,0.246,-11.93,1.14,B_New
B_Keltner Channel Breakout,ADA_USDT,1034,3116.8,5163.77,2046.97,45.6,0.485,0.119,0.191,-17.95,1.1,B_New
B_GARCH Volatility Position Sizing,HBAR_USDT,739,3153.07,4918.52,1765.45,44.2,0.48,0.114,0.262,-16.19,1.13,B_New
B_Elliott Wave + Base ML,TRX_USDT,326,1823.61,2262.07,438.45,45.4,0.478,0.058,0.353,-6.07,1.25,B_New
